producing

root@kafk00perf10-vio-bk:/opt/kafka/bin# kafka-producer-perf-test --topic example --producer.config /opt/kafka/config/client-ssl1.properties --num-records 1000000 --throughput -1 --record-size 10000
3592 records sent, 718.4 records/sec (6.85 MB/sec), 2931.9 ms avg latency, 7175.0 ms max latency.
3611 records sent, 722.2 records/sec (6.89 MB/sec), 2807.7 ms avg latency, 7104.0 ms max latency.
3395 records sent, 679.0 records/sec (6.48 MB/sec), 2842.4 ms avg latency, 7314.0 ms max latency.
3335 records sent, 667.0 records/sec (6.36 MB/sec), 2947.4 ms avg latency, 7812.0 ms max latency.
2705 records sent, 540.6 records/sec (5.16 MB/sec), 3019.9 ms avg latency, 9064.0 ms max latency.
3150 records sent, 630.0 records/sec (6.01 MB/sec), 3592.6 ms avg latency, 9668.0 ms max latency.
2378 records sent, 474.9 records/sec (4.53 MB/sec), 3704.3 ms avg latency, 10867.0 ms max latency.
1117 records sent, 223.2 records/sec (2.13 MB/sec), 3580.3 ms avg latency, 13219.0 ms max latency.
1690 records sent, 337.7 records/sec (3.22 MB/sec), 3980.3 ms avg latency, 16316.0 ms max latency.
929 records sent, 185.7 records/sec (1.77 MB/sec), 6089.0 ms avg latency, 19961.0 ms max latency.
1946 records sent, 389.2 records/sec (3.71 MB/sec), 6797.2 ms avg latency, 21401.0 ms max latency.
3558 records sent, 711.6 records/sec (6.79 MB/sec), 6499.2 ms avg latency, 21219.0 ms max latency.
4000 records sent, 792.9 records/sec (7.56 MB/sec), 3154.1 ms avg latency, 10532.0 ms max latency.
4071 records sent, 814.2 records/sec (7.76 MB/sec), 2782.0 ms avg latency, 6232.0 ms max latency.
4102 records sent, 820.4 records/sec (7.82 MB/sec), 2717.6 ms avg latency, 5685.0 ms max latency.
4024 records sent, 804.6 records/sec (7.67 MB/sec), 2619.3 ms avg latency, 4834.0 ms max latency.
1740 records sent, 347.9 records/sec (3.32 MB/sec), 3087.3 ms avg latency, 5212.0 ms max latency.
3588 records sent, 717.6 records/sec (6.84 MB/sec), 4378.1 ms avg latency, 7889.0 ms max latency.
3923 records sent, 784.4 records/sec (7.48 MB/sec), 2533.8 ms avg latency, 3742.0 ms max latency.
4237 records sent, 847.4 records/sec (8.08 MB/sec), 2544.6 ms avg latency, 3203.0 ms max latency.
4242 records sent, 847.7 records/sec (8.08 MB/sec), 2326.3 ms avg latency, 3321.0 ms max latency.
3709 records sent, 741.8 records/sec (7.07 MB/sec), 2573.6 ms avg latency, 4055.0 ms max latency.
1720 records sent, 344.0 records/sec (3.28 MB/sec), 4363.0 ms avg latency, 6720.0 ms max latency.
448 records sent, 72.3 records/sec (0.69 MB/sec), 4161.4 ms avg latency, 6905.0 ms max latency.
816 records sent, 163.2 records/sec (1.56 MB/sec), 11711.6 ms avg latency, 13635.0 ms max latency.
1038 records sent, 207.6 records/sec (1.98 MB/sec), 13386.6 ms avg latency, 19268.0 ms max latency.
1803 records sent, 360.3 records/sec (3.44 MB/sec), 8555.5 ms avg latency, 19270.0 ms max latency.
2093 records sent, 418.4 records/sec (3.99 MB/sec), 5814.2 ms avg latency, 14537.0 ms max latency.
1764 records sent, 352.7 records/sec (3.36 MB/sec), 5072.4 ms avg latency, 8580.0 ms max latency.
1511 records sent, 302.0 records/sec (2.88 MB/sec), 5298.0 ms avg latency, 11324.0 ms max latency.
2910 records sent, 581.8 records/sec (5.55 MB/sec), 5340.7 ms avg latency, 12300.0 ms max latency.
781 records sent, 156.1 records/sec (1.49 MB/sec), 4957.9 ms avg latency, 11353.0 ms max latency.
1388 records sent, 277.4 records/sec (2.65 MB/sec), 6368.9 ms avg latency, 12947.0 ms max latency.
2779 records sent, 555.8 records/sec (5.30 MB/sec), 5697.8 ms avg latency, 14378.0 ms max latency.
3048 records sent, 609.6 records/sec (5.81 MB/sec), 3446.7 ms avg latency, 11358.0 ms max latency.
